# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.268274960000000000e+08 2.110354614257812500e+01 1.268274960000000000e+08 2.110354614257812500e+01
1.000000000000000000e+03 1.268276800000000000e+08 4.112872619628906250e+02 1.268276800000000000e+08 4.112872619628906250e+02
2.000000000000000000e+03 1.268276720000000000e+08 3.852559204101562500e+02 1.268276720000000000e+08 3.852559204101562500e+02
3.000000000000000000e+03 1.268276720000000000e+08 3.428617858886718750e+02 1.268276720000000000e+08 3.428617858886718750e+02
4.000000000000000000e+03 1.268276720000000000e+08 2.815464782714843750e+02 1.268276720000000000e+08 2.815464782714843750e+02
5.000000000000000000e+03 1.268276720000000000e+08 2.028984222412109375e+02 1.268276720000000000e+08 2.028984222412109375e+02
6.000000000000000000e+03 1.268276720000000000e+08 1.180236816406250000e+02 1.268276720000000000e+08 1.180236816406250000e+02
7.000000000000000000e+03 1.268276720000000000e+08 4.822489929199218750e+01 1.268276720000000000e+08 4.822489929199218750e+01
8.000000000000000000e+03 1.268276720000000000e+08 1.098272991180419922e+01 1.268276720000000000e+08 1.098272991180419922e+01
9.000000000000000000e+03 1.268276720000000000e+08 9.451040625572204590e-01 1.268276720000000000e+08 9.451040625572204590e-01
1.000000000000000000e+04 1.268276720000000000e+08 1.557378191500902176e-02 1.268276720000000000e+08 1.557378191500902176e-02
